"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","64.40","66.20","65.27","65.71","RMA"
"Canadian Dollar (CAD)","CAD","67.20","69.10","68.11","68.61","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.53","14.63","RMA"
"OEuro (EURO)","EUR","107.10","110.05","108.54","109.28","RMA"
"Hongkong Dollar (HKD)","HKD","11.80","12.15","11.95","12.04","RMA"
"Japanese Yen 100 (JPY)","JPY","58.20","59.85","59.0","59.42","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.64","9.71","RMA"
"Pound Sterling (GBP)","GBP","123.80","127.25","125.49","126.34","RMA"
"Singapore Dollar (SGD)","SGD","72.20","74.25","73.17","73.72","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.02","10.1","RMA"
"Swiss Franc (CHF)","CHF","117.40","120.70","118.98","119.85","RMA"
"US Dollar (USD)","USD","92.45","95.30","93.6","94.25","RMA"
