"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","67.30","69.15","68.2","68.63","RMA"
"Canadian Dollar (CAD)","CAD","67.80","69.70","68.73","69.23","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.87","14.97","RMA"
"OEuro (EURO)","EUR","109.65","112.70","111.12","111.88","RMA"
"Hongkong Dollar (HKD)","HKD","12.05","12.35","12.2","12.28","RMA"
"Japanese Yen 100 (JPY)","JPY","58.95","60.60","59.76","60.19","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.27","10.34","RMA"
"Pound Sterling (GBP)","GBP","126.70","130.20","128.44","129.26","RMA"
"Singapore Dollar (SGD)","SGD","73.45","75.50","74.43","74.98","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.22","10.29","RMA"
"Swiss Franc (CHF)","CHF","119.35","122.75","120.97","121.89","RMA"
"US Dollar (USD)","USD","94.35","97.30","95.56","96.22","RMA"
