"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","63.55","65.30","64.39","64.81","RMA"
"Canadian Dollar (CAD)","CAD","65.75","67.60","66.63","67.11","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.35","14.45","RMA"
"OEuro (EURO)","EUR","105.85","108.75","107.26","107.99","RMA"
"Hongkong Dollar (HKD)","HKD","11.70","12.00","11.84","11.92","RMA"
"Japanese Yen 100 (JPY)","JPY","57.35","58.95","58.1","58.51","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.56","9.63","RMA"
"Pound Sterling (GBP)","GBP","121.45","124.80","123.07","123.88","RMA"
"Singapore Dollar (SGD)","SGD","71.30","73.35","72.26","72.8","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.78","9.85","RMA"
"Swiss Franc (CHF)","CHF","114.60","117.85","116.13","116.98","RMA"
"US Dollar (USD)","USD","91.60","94.45","92.76","93.4","RMA"
