"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","66.30","68.15","67.2","67.65","RMA"
"Canadian Dollar (CAD)","CAD","67.30","69.20","68.23","68.73","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.67","14.78","RMA"
"OEuro (EURO)","EUR","108.25","111.25","109.72","110.46","RMA"
"Hongkong Dollar (HKD)","HKD","11.95","12.30","12.12","12.2","RMA"
"Japanese Yen 100 (JPY)","JPY","58.95","60.60","59.74","60.17","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.01","10.08","RMA"
"Pound Sterling (GBP)","GBP","126.80","130.30","128.53","129.39","RMA"
"Singapore Dollar (SGD)","SGD","73.30","75.35","74.31","74.83","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.97","10.04","RMA"
"Swiss Franc (CHF)","CHF","115.45","118.70","117.03","117.87","RMA"
"US Dollar (USD)","USD","93.90","96.85","95.1","95.76","RMA"
