"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","64.05","65.85","64.94","65.38","RMA"
"Canadian Dollar (CAD)","CAD","65.75","67.60","66.62","67.11","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.42","14.53","RMA"
"OEuro (EURO)","EUR","106.35","109.30","107.8","108.53","RMA"
"Hongkong Dollar (HKD)","HKD","11.65","11.95","11.78","11.87","RMA"
"Japanese Yen 100 (JPY)","JPY","57.30","58.90","58.07","58.48","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.69","9.76","RMA"
"Pound Sterling (GBP)","GBP","122.10","125.50","123.75","124.61","RMA"
"Singapore Dollar (SGD)","SGD","71.40","73.45","72.38","72.92","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.91","9.98","RMA"
"Swiss Franc (CHF)","CHF","115.15","118.40","116.69","117.55","RMA"
"US Dollar (USD)","USD","91.20","94.00","92.32","92.97","RMA"
