"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","67.20","69.05","68.11","68.55","RMA"
"Canadian Dollar (CAD)","CAD","67.85","69.75","68.77","69.25","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.8","14.9","RMA"
"OEuro (EURO)","EUR","109.15","112.15","110.61","111.36","RMA"
"Hongkong Dollar (HKD)","HKD","11.95","12.30","12.13","12.21","RMA"
"Japanese Yen 100 (JPY)","JPY","59.00","60.65","59.78","60.19","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.28","10.35","RMA"
"Pound Sterling (GBP)","GBP","126.50","130.00","128.19","129.07","RMA"
"Singapore Dollar (SGD)","SGD","73.35","75.45","74.36","74.92","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.24","10.32","RMA"
"Swiss Franc (CHF)","CHF","119.90","123.30","121.52","122.44","RMA"
"US Dollar (USD)","USD","93.85","96.75","95.0","95.66","RMA"
