"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","56.60","58.20","57.38","57.77","RMA"
"Canadian Dollar","CAD","62.80","64.60","63.67","64.12","RMA"
"Danish Kroner","DKK","-","-","13.72","13.82","RMA"
"OEuro","EUR","101.05","103.85","102.41","103.1","RMA"
"Hongkong Dollar","HKD","11.10","11.40","11.26","11.34","RMA"
"Japanese Yen 100","JPY","58.35","60.00","59.14","59.55","RMA"
"Norwegian Kroner","NOK","-","-","8.76","8.83","RMA"
"Pound Sterling","GBP","116.20","119.45","117.79","118.59","RMA"
"Singapore Dollar","SGD","67.30","69.15","68.19","68.67","RMA"
"Swedish Kroner","SEK","-","-","9.31","9.37","RMA"
"Swiss Franc","CHF","107.85","110.90","109.31","110.08","RMA"
"US Dollar","USD","86.75","89.45","87.85","88.46","RMA"
