"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","64.90","66.70","65.79","66.22","RMA"
"Canadian Dollar (CAD)","CAD","65.75","67.60","66.63","67.11","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.48","14.58","RMA"
"OEuro (EURO)","EUR","106.80","109.75","108.24","108.97","RMA"
"Hongkong Dollar (HKD)","HKD","11.90","12.25","12.08","12.16","RMA"
"Japanese Yen 100 (JPY)","JPY","57.70","59.35","58.5","58.91","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.66","9.74","RMA"
"Pound Sterling (GBP)","GBP","125.05","128.50","126.73","127.58","RMA"
"Singapore Dollar (SGD)","SGD","72.35","74.35","73.31","73.84","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.81","9.88","RMA"
"Swiss Franc (CHF)","CHF","115.80","119.10","117.38","118.22","RMA"
"US Dollar (USD)","USD","93.55","96.45","94.74","95.4","RMA"
