"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","64.10","65.90","64.98","65.41","RMA"
"Canadian Dollar (CAD)","CAD","65.65","67.55","66.56","67.04","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.43","14.53","RMA"
"OEuro (EURO)","EUR","106.45","109.40","107.87","108.6","RMA"
"Hongkong Dollar (HKD)","HKD","11.65","11.95","11.79","11.87","RMA"
"Japanese Yen 100 (JPY)","JPY","57.50","59.10","58.27","58.67","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.63","9.72","RMA"
"Pound Sterling (GBP)","GBP","122.35","125.75","124.0","124.83","RMA"
"Singapore Dollar (SGD)","SGD","71.40","73.45","72.38","72.94","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.96","10.03","RMA"
"Swiss Franc (CHF)","CHF","115.45","118.70","117.03","117.87","RMA"
"US Dollar (USD)","USD","91.20","94.05","92.35","92.99","RMA"
