"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","63.45","65.20","64.28","64.72","RMA"
"Canadian Dollar (CAD)","CAD","66.35","68.20","67.23","67.73","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.39","14.5","RMA"
"OEuro (EURO)","EUR","106.10","109.05","107.54","108.28","RMA"
"Hongkong Dollar (HKD)","HKD","11.80","12.15","11.96","12.05","RMA"
"Japanese Yen 100 (JPY)","JPY","57.95","59.60","58.72","59.15","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.58","9.66","RMA"
"Pound Sterling (GBP)","GBP","122.25","125.65","123.92","124.76","RMA"
"Singapore Dollar (SGD)","SGD","71.65","73.70","72.62","73.18","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.81","9.88","RMA"
"Swiss Franc (CHF)","CHF","115.55","118.80","117.12","117.97","RMA"
"US Dollar (USD)","USD","92.60","95.50","93.76","94.42","RMA"
