"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","65.75","67.55","66.62","67.07","RMA"
"Canadian Dollar (CAD)","CAD","67.30","69.20","68.22","68.71","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.69","14.8","RMA"
"OEuro (EURO)","EUR","108.35","111.40","109.83","110.59","RMA"
"Hongkong Dollar (HKD)","HKD","11.95","12.30","12.13","12.21","RMA"
"Japanese Yen 100 (JPY)","JPY","58.45","60.05","59.22","59.64","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.01","10.08","RMA"
"Pound Sterling (GBP)","GBP","125.60","129.10","127.31","128.16","RMA"
"Singapore Dollar (SGD)","SGD","72.85","74.85","73.81","74.33","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.02","10.09","RMA"
"Swiss Franc (CHF)","CHF","117.40","120.70","118.99","119.83","RMA"
"US Dollar (USD)","USD","93.85","96.75","95.03","95.69","RMA"
