"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","66.40","68.25","67.31","67.77","RMA"
"Canadian Dollar (CAD)","CAD","66.95","68.85","67.86","68.35","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.57","14.67","RMA"
"OEuro (EURO)","EUR","107.45","110.40","108.89","109.63","RMA"
"Hongkong Dollar (HKD)","HKD","12.05","12.40","12.2","12.29","RMA"
"Japanese Yen 100 (JPY)","JPY","59.50","61.15","60.3","60.72","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.12","10.2","RMA"
"Pound Sterling (GBP)","GBP","25.00","128.40","126.68","127.48","RMA"
"Singapore Dollar (SGD)","SGD","73.80","75.85","74.78","75.31","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.69","9.76","RMA"
"Swiss Franc (CHF)","CHF","114.20","117.40","115.72","116.55","RMA"
"US Dollar (USD)","USD","94.55","97.45","95.72","96.39","RMA"
