"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","64.10","65.90","64.98","65.42","RMA"
"Canadian Dollar (CAD)","CAD","65.25","67.10","66.15","66.62","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.31","14.41","RMA"
"OEuro (EURO)","EUR","105.55","108.50","106.99","107.72","RMA"
"Hongkong Dollar (HKD)","HKD","11.85","12.20","12.01","12.09","RMA"
"Japanese Yen 100 (JPY)","JPY","57.40","59.05","58.19","58.61","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.54","9.61","RMA"
"Pound Sterling (GBP)","GBP","122.50","125.90","124.16","124.99","RMA"
"Singapore Dollar (SGD)","SGD","71.65","73.65","72.6","73.14","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.67","9.74","RMA"
"Swiss Franc (CHF)","CHF","114.45","117.70","116.0","116.87","RMA"
"US Dollar (USD)","USD","93.00","95.90","94.17","94.82","RMA"
