"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","67.65","69.50","68.56","69.01","RMA"
"Canadian Dollar (CAD)","CAD","68.50","70.45","69.44","69.94","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.87","14.98","RMA"
"OEuro (EURO)","EUR","109.65","112.70","111.16","111.91","RMA"
"Hongkong Dollar (HKD)","HKD","11.90","12.20","12.05","12.13","RMA"
"Japanese Yen 100 (JPY)","JPY","59.70","61.40","60.52","60.96","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.17","10.26","RMA"
"Pound Sterling (GBP)","GBP","126.90","130.45","128.62","129.5","RMA"
"Singapore Dollar (SGD)","SGD","73.45","75.55","74.44","75.01","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.26","10.33","RMA"
"Swiss Franc (CHF)","CHF","119.55","122.95","121.16","122.05","RMA"
"US Dollar (USD)","USD","93.20","96.10","94.39","95.04","RMA"
