"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","66.75","68.60","67.66","68.12","RMA"
"Canadian Dollar (CAD)","CAD","68.20","70.10","69.1","69.58","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.81","14.91","RMA"
"OEuro (EURO)","EUR","109.20","112.25","110.68","111.43","RMA"
"Hongkong Dollar (HKD)","HKD","11.90","12.25","12.07","12.16","RMA"
"Japanese Yen 100 (JPY)","JPY","58.40","60.05","59.2","59.61","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.16","10.23","RMA"
"Pound Sterling (GBP)","GBP","126.05","129.55","127.78","128.64","RMA"
"Singapore Dollar (SGD)","SGD","73.05","75.10","74.02","74.58","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.19","10.26","RMA"
"Swiss Franc (CHF)","CHF","118.10","121.45","119.72","120.57","RMA"
"US Dollar (USD)","USD","93.45","96.35","94.62","95.27","RMA"
