"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","66.30","68.15","67.22","67.64","RMA"
"Canadian Dollar (CAD)","CAD","67.40","69.35","68.33","68.83","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.69","14.8","RMA"
"OEuro (EURO)","EUR","108.40","111.40","109.86","110.6","RMA"
"Hongkong Dollar (HKD)","HKD","11.95","12.30","12.13","12.22","RMA"
"Japanese Yen 100 (JPY)","JPY","58.95","60.60","59.76","60.18","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.04","10.11","RMA"
"Pound Sterling (GBP)","GBP","126.85","130.40","128.59","129.45","RMA"
"Singapore Dollar (SGD)","SGD","73.30","75.40","74.32","74.84","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.01","10.09","RMA"
"Swiss Franc (CHF)","CHF","115.85","119.10","117.41","118.26","RMA"
"US Dollar (USD)","USD","94.05","96.95","95.21","95.86","RMA"
