"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","65.20","67.00","66.06","66.51","RMA"
"Canadian Dollar (CAD)","CAD","66.20","68.05","67.11","67.58","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.54","14.64","RMA"
"OEuro (EURO)","EUR","107.20","110.20","108.67","109.41","RMA"
"Hongkong Dollar (HKD)","HKD","11.95","12.30","12.13","12.21","RMA"
"Japanese Yen 100 (JPY)","JPY","58.00","59.60","58.76","59.17","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.75","9.82","RMA"
"Pound Sterling (GBP)","GBP","125.85","129.30","127.54","128.39","RMA"
"Singapore Dollar (SGD)","SGD","72.65","74.70","73.63","74.17","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.86","9.93","RMA"
"Swiss Franc (CHF)","CHF","116.25","119.55","117.83","118.68","RMA"
"US Dollar (USD)","USD","93.90","96.80","95.09","95.75","RMA"
