"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","64.50","66.30","65.39","65.84","RMA"
"Canadian Dollar (CAD)","CAD","65.95","67.80","66.86","67.33","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.5","14.6","RMA"
"OEuro (EURO)","EUR","106.90","109.85","108.34","109.08","RMA"
"Hongkong Dollar (HKD)","HKD","11.65","12.00","11.81","11.89","RMA"
"Japanese Yen 100 (JPY)","JPY","57.30","58.90","58.09","58.5","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.74","9.81","RMA"
"Pound Sterling (GBP)","GBP","122.65","126.05","124.32","125.17","RMA"
"Singapore Dollar (SGD)","SGD","71.60","73.65","72.58","73.11","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.97","10.04","RMA"
"Swiss Franc (CHF)","CHF","115.55","118.80","117.1","117.95","RMA"
"US Dollar (USD)","USD","91.35","94.20","92.51","93.15","RMA"
