"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","66.95","68.80","67.87","68.32","RMA"
"Canadian Dollar (CAD)","CAD","67.90","69.80","68.82","69.31","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.78","14.89","RMA"
"OEuro (EURO)","EUR","109.05","112.05","110.53","111.27","RMA"
"Hongkong Dollar (HKD)","HKD","12.00","12.35","12.17","12.25","RMA"
"Japanese Yen 100 (JPY)","JPY","59.00","60.65","59.8","60.22","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.12","10.19","RMA"
"Pound Sterling (GBP)","GBP","127.45","130.95","129.17","130.03","RMA"
"Singapore Dollar (SGD)","SGD","73.70","75.75","74.7","75.23","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.03","10.1","RMA"
"Swiss Franc (CHF)","CHF","116.00","119.30","117.57","118.43","RMA"
"US Dollar (USD)","USD","94.25","97.20","95.45","96.11","RMA"
