"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","66.50","68.35","67.42","67.87","RMA"
"Canadian Dollar (CAD)","CAD","67.50","69.40","68.4","68.89","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.71","14.81","RMA"
"OEuro (EURO)","EUR","108.50","111.50","109.95","110.69","RMA"
"Hongkong Dollar (HKD)","HKD","12.10","12.45","12.28","12.37","RMA"
"Japanese Yen 100 (JPY)","JPY","58.15","59.80","58.95","59.38","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.04","10.12","RMA"
"Pound Sterling (GBP)","GBP","127.10","130.60","128.83","129.69","RMA"
"Singapore Dollar (SGD)","SGD","73.65","75.70","74.64","75.16","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.91","9.99","RMA"
"Swiss Franc (CHF)","CHF","116.65","119.95","118.23","119.08","RMA"
"US Dollar (USD)","USD","95.15","98.10","96.33","96.99","RMA"
