"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","57.60","59.20","58.36","58.75","RMA"
"Canadian Dollar","CAD","62.80","64.55","63.65","64.1","RMA"
"Danish Kroner","DKK","-","-","13.92","14.02","RMA"
"OEuro","EUR","102.50","105.35","103.89","104.6","RMA"
"Hongkong Dollar","HKD","11.20","11.55","11.37","11.45","RMA"
"Japanese Yen 100","JPY","58.65","60.30","59.44","59.86","RMA"
"Norwegian Kroner","NOK","-","-","8.89","8.96","RMA"
"Pound Sterling","GBP","117.40","120.65","118.97","119.77","RMA"
"Singapore Dollar","SGD","67.70","69.65","68.63","69.14","RMA"
"Swedish Kroner","SEK","-","-","9.42","9.49","RMA"
"Swiss Franc","CHF","109.65","112.75","111.14","111.93","RMA"
"US Dollar","USD","87.35","90.05","88.44","89.06","RMA"
