"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","63.75","65.55","64.64","65.07","RMA"
"Canadian Dollar (CAD)","CAD","66.15","68.00","67.02","67.51","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.45","14.55","RMA"
"OEuro (EURO)","EUR","106.50","109.50","107.95","108.69","RMA"
"Hongkong Dollar (HKD)","HKD","11.70","12.05","11.88","11.96","RMA"
"Japanese Yen 100 (JPY)","JPY","57.85","59.50","58.65","59.08","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.64","9.71","RMA"
"Pound Sterling (GBP)","GBP","122.10","125.50","123.77","124.61","RMA"
"Singapore Dollar (SGD)","SGD","71.55","73.65","72.54","73.1","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.91","9.98","RMA"
"Swiss Franc (CHF)","CHF","115.80","119.10","117.37","118.24","RMA"
"US Dollar (USD)","USD","91.95","94.80","93.09","93.75","RMA"
