"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","57.20","58.75","57.97","58.35","RMA"
"Canadian Dollar","CAD","62.25","64.00","63.08","63.54","RMA"
"Danish Kroner","DKK","-","-","13.71","13.81","RMA"
"OEuro","EUR","101.00","103.80","102.39","103.08","RMA"
"Hongkong Dollar","HKD","11.20","11.55","11.37","11.45","RMA"
"Japanese Yen 100","JPY","57.15","58.75","57.9","58.32","RMA"
"Norwegian Kroner","NOK","-","-","8.76","8.82","RMA"
"Pound Sterling","GBP","116.00","119.20","117.57","118.35","RMA"
"Singapore Dollar","SGD","67.20","69.10","68.11","68.62","RMA"
"Swedish Kroner","SEK","-","-","9.29","9.35","RMA"
"Swiss Franc","CHF","108.30","111.40","109.75","110.58","RMA"
"US Dollar","USD","87.40","90.10","88.47","89.09","RMA"
