"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","66.15","67.95","67.03","67.46","RMA"
"Canadian Dollar (CAD)","CAD","66.90","68.80","67.83","68.31","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.59","14.69","RMA"
"OEuro (EURO)","EUR","107.65","110.60","109.08","109.82","RMA"
"Hongkong Dollar (HKD)","HKD","12.05","12.35","12.2","12.29","RMA"
"Japanese Yen 100 (JPY)","JPY","57.70","59.35","58.51","58.91","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.9","9.99","RMA"
"Pound Sterling (GBP)","GBP","125.90","129.40","127.61","128.46","RMA"
"Singapore Dollar (SGD)","SGD","73.20","75.25","74.18","74.71","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.88","9.95","RMA"
"Swiss Franc (CHF)","CHF","115.85","119.10","117.44","118.27","RMA"
"US Dollar (USD)","USD","94.50","97.40","95.68","96.34","RMA"
