"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","67.55","69.40","68.47","68.93","RMA"
"Canadian Dollar (CAD)","CAD","67.90","69.80","68.82","69.32","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.76","14.86","RMA"
"OEuro (EURO)","EUR","108.80","111.85","110.29","111.05","RMA"
"Hongkong Dollar (HKD)","HKD","11.95","12.25","12.1","12.18","RMA"
"Japanese Yen 100 (JPY)","JPY","60.95","62.65","61.76","62.2","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.3","10.37","RMA"
"Pound Sterling (GBP)","GBP","126.70","130.20","128.42","129.28","RMA"
"Singapore Dollar (SGD)","SGD","74.00","76.05","75.0","75.53","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.88","9.95","RMA"
"Swiss Franc (CHF)","CHF","115.50","118.75","117.07","117.91","RMA"
"US Dollar (USD)","USD","93.70","96.60","94.88","95.53","RMA"
