"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","57.15","58.70","57.9","58.27","RMA"
"Canadian Dollar","CAD","62.40","64.15","63.23","63.69","RMA"
"Danish Kroner","DKK","-","-","13.8","13.9","RMA"
"OEuro","EUR","101.70","104.50","103.07","103.77","RMA"
"Hongkong Dollar","HKD","11.30","11.60","11.45","11.53","RMA"
"Japanese Yen 100","JPY","56.15","57.75","56.93","57.33","RMA"
"Norwegian Kroner","NOK","-","-","8.71","8.78","RMA"
"Pound Sterling","GBP","115.80","118.95","117.37","118.12","RMA"
"Singapore Dollar","SGD","67.65","69.55","68.56","69.07","RMA"
"Swedish Kroner","SEK","-","-","9.35","9.42","RMA"
"Swiss Franc","CHF","108.95","112.05","110.42","111.25","RMA"
"US Dollar","USD","87.95","90.70","89.05","89.68","RMA"
