"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","58.75","60.40","59.54","59.94","RMA"
"Canadian Dollar","CAD","63.90","65.70","64.77","65.24","RMA"
"Danish Kroner","DKK","-","-","13.99","14.09","RMA"
"OEuro","EUR","103.10","105.95","104.49","105.2","RMA"
"Hongkong Dollar","HKD","11.35","11.70","11.52","11.6","RMA"
"Japanese Yen 100","JPY","56.65","58.25","57.43","57.84","RMA"
"Norwegian Kroner","NOK","-","-","8.87","8.94","RMA"
"Pound Sterling","GBP","118.05","121.35","119.67","120.49","RMA"
"Singapore Dollar","SGD","68.20","70.15","69.14","69.65","RMA"
"Swedish Kroner","SEK","-","-","9.59","9.66","RMA"
"Swiss Franc","CHF","109.75","112.90","111.26","112.1","RMA"
"US Dollar","USD","88.55","91.30","89.65","90.28","RMA"
