"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","59.50","61.15","60.3","60.71","RMA"
"Canadian Dollar (CAD)","CAD","63.95","65.75","64.82","65.29","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.04","14.14","RMA"
"OEuro (EURO)","EUR","103.55","106.45","104.93","105.66","RMA"
"Hongkong Dollar (HKD)","HKD","11.40","11.70","11.55","11.63","RMA"
"Japanese Yen 100 (JPY)","JPY","55.95","57.55","56.72","57.14","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","8.93","9.0","RMA"
"Pound Sterling (GBP)","GBP","119.55","122.90","121.18","122.0","RMA"
"Singapore Dollar (SGD)","SGD","69.00","70.95","69.94","70.46","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.78","9.85","RMA"
"Swiss Franc (CHF)","CHF","110.75","113.90","112.26","113.1","RMA"
"US Dollar (USD)","USD","88.95","91.70","90.05","90.69","RMA"
