"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","56.10","57.65","56.87","57.24","RMA"
"Canadian Dollar","CAD","61.65","63.35","62.47","62.91","RMA"
"Danish Kroner","DKK","-","-","13.59","13.69","RMA"
"OEuro","EUR","100.15","102.95","101.51","102.2","RMA"
"Hongkong Dollar","HKD","11.10","11.45","11.27","11.35","RMA"
"Japanese Yen 100","JPY","56.90","58.50","57.66","58.07","RMA"
"Norwegian Kroner","NOK","-","-","8.71","8.78","RMA"
"Pound Sterling","GBP","115.05","118.25","116.61","117.39","RMA"
"Singapore Dollar","SGD","66.50","68.40","67.39","67.9","RMA"
"Swedish Kroner","SEK","-","-","9.27","9.34","RMA"
"Swiss Franc","CHF","108.45","111.50","109.93","110.71","RMA"
"US Dollar","USD","86.45","89.15","87.54","88.15","RMA"
