"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","67.90","69.75","68.81","69.27","RMA"
"Canadian Dollar (CAD)","CAD","68.60","70.55","69.54","70.04","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.97","15.07","RMA"
"OEuro (EURO)","EUR","110.40","113.45","111.88","112.64","RMA"
"Hongkong Dollar (HKD)","HKD","12.00","12.30","12.14","12.23","RMA"
"Japanese Yen 100 (JPY)","JPY","59.70","61.35","60.49","60.92","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.31","10.39","RMA"
"Pound Sterling (GBP)","GBP","127.55","131.10","129.29","130.18","RMA"
"Singapore Dollar (SGD)","SGD","73.85","75.95","74.86","75.42","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.29","10.36","RMA"
"Swiss Franc (CHF)","CHF","120.40","123.80","122.05","122.91","RMA"
"US Dollar (USD)","USD","93.90","96.80","95.07","95.73","RMA"
