"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","59.15","60.85","59.95","60.43","RMA"
"Canadian Dollar","CAD","64.50","66.45","65.38","65.97","RMA"
"Danish Kroner","DKK","-","-","14.1","14.23","RMA"
"OEuro","EUR","104.00","107.05","105.42","106.29","RMA"
"Hongkong Dollar","HKD","11.35","11.70","11.5","11.6","RMA"
"Japanese Yen 100","JPY","56.60","58.30","57.38","57.89","RMA"
"Norwegian Kroner","NOK","-","-","8.86","9.07","RMA"
"Pound Sterling","GBP","119.35","122.90","120.95","122.0","RMA"
"Singapore Dollar","SGD","68.65","70.80","69.57","70.31","RMA"
"Swedish Kroner","SEK","-","-","9.72","9.86","RMA"
"Swiss Franc","CHF","112.00","115.45","113.51","114.6","RMA"
"US Dollar","USD","88.35","91.25","89.44","90.22","RMA"
