"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","63.90","65.65","64.76","65.19","RMA"
"Canadian Dollar (CAD)","CAD","66.40","68.25","67.28","67.77","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.13","14.22","RMA"
"OEuro (EURO)","EUR","104.15","107.05","105.56","106.28","RMA"
"Hongkong Dollar (HKD)","HKD","11.60","11.95","11.77","11.85","RMA"
"Japanese Yen 100 (JPY)","JPY","57.10","58.70","57.86","58.27","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.48","9.55","RMA"
"Pound Sterling (GBP)","GBP","120.50","123.85","122.13","122.97","RMA"
"Singapore Dollar (SGD)","SGD","71.00","73.00","71.96","72.5","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.8","9.87","RMA"
"Swiss Franc (CHF)","CHF","115.20","118.50","116.77","117.63","RMA"
"US Dollar (USD)","USD","91.05","93.90","92.19","92.83","RMA"
