"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","67.35","69.20","68.27","68.73","RMA"
"Canadian Dollar (CAD)","CAD","68.10","70.00","69.0","69.5","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.81","14.91","RMA"
"OEuro (EURO)","EUR","109.20","112.20","110.67","111.42","RMA"
"Hongkong Dollar (HKD)","HKD","11.85","12.20","12.0","12.09","RMA"
"Japanese Yen 100 (JPY)","JPY","59.30","61.00","60.12","60.55","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.2","10.27","RMA"
"Pound Sterling (GBP)","GBP","126.35","129.85","128.09","128.91","RMA"
"Singapore Dollar (SGD)","SGD","73.30","75.35","74.28","74.8","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.21","10.28","RMA"
"Swiss Franc (CHF)","CHF","119.30","122.65","120.89","121.77","RMA"
"US Dollar (USD)","USD","92.85","95.75","94.03","94.68","RMA"
