"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","67.60","69.45","68.51","68.98","RMA"
"Canadian Dollar (CAD)","CAD","69.05","70.95","69.96","70.45","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.97","15.08","RMA"
"OEuro (EURO)","EUR","110.40","113.45","111.89","112.66","RMA"
"Hongkong Dollar (HKD)","HKD","12.15","12.45","12.29","12.38","RMA"
"Japanese Yen 100 (JPY)","JPY","59.70","61.40","60.52","60.95","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.37","10.45","RMA"
"Pound Sterling (GBP)","GBP","127.40","130.90","129.12","129.98","RMA"
"Singapore Dollar (SGD)","SGD","74.15","76.25","75.14","75.7","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.24","10.32","RMA"
"Swiss Franc (CHF)","CHF","120.65","124.10","122.29","123.22","RMA"
"US Dollar (USD)","USD","95.10","98.05","96.29","96.96","RMA"
