"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","57.20","58.80","57.99","58.37","RMA"
"Canadian Dollar","CAD","62.25","64.00","63.07","63.52","RMA"
"Danish Kroner","DKK","-","-","13.66","13.75","RMA"
"OEuro","EUR","100.65","103.45","101.99","102.69","RMA"
"Hongkong Dollar","HKD","11.25","11.55","11.39","11.47","RMA"
"Japanese Yen 100","JPY","56.65","58.25","57.44","57.85","RMA"
"Norwegian Kroner","NOK","-","-","8.75","8.82","RMA"
"Pound Sterling","GBP","114.70","117.85","116.25","117.03","RMA"
"Singapore Dollar","SGD","67.05","68.90","67.94","68.42","RMA"
"Swedish Kroner","SEK","-","-","9.31","9.39","RMA"
"Swiss Franc","CHF","108.25","111.30","109.7","110.5","RMA"
"US Dollar","USD","87.45","90.20","88.56","89.18","RMA"
