"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","57.70","59.25","58.46","58.85","RMA"
"Canadian Dollar","CAD","62.85","64.60","63.68","64.14","RMA"
"Danish Kroner","DKK","-","-","13.9","14.0","RMA"
"OEuro","EUR","102.40","105.25","103.77","104.48","RMA"
"Hongkong Dollar","HKD","11.10","11.45","11.27","11.34","RMA"
"Japanese Yen 100","JPY","59.05","60.75","59.86","60.29","RMA"
"Norwegian Kroner","NOK","-","-","8.92","8.98","RMA"
"Pound Sterling","GBP","117.95","121.25","119.56","120.38","RMA"
"Singapore Dollar","SGD","67.70","69.60","68.61","69.11","RMA"
"Swedish Kroner","SEK","-","-","9.47","9.54","RMA"
"Swiss Franc","CHF","109.85","112.95","111.33","112.16","RMA"
"US Dollar","USD","86.50","89.20","87.6","88.2","RMA"
