"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","57.25","58.85","58.04","58.41","RMA"
"Canadian Dollar","CAD","62.75","64.55","63.6","64.06","RMA"
"Danish Kroner","DKK","-","-","13.84","13.94","RMA"
"OEuro","EUR","101.95","104.80","103.34","104.04","RMA"
"Hongkong Dollar","HKD","11.15","11.45","11.3","11.38","RMA"
"Japanese Yen 100","JPY","58.60","60.25","59.38","59.8","RMA"
"Norwegian Kroner","NOK","-","-","8.87","8.93","RMA"
"Pound Sterling","GBP","117.10","120.35","118.68","119.47","RMA"
"Singapore Dollar","SGD","67.50","69.40","68.42","68.91","RMA"
"Swedish Kroner","SEK","-","-","9.35","9.42","RMA"
"Swiss Franc","CHF","109.00","112.15","110.5","111.33","RMA"
"US Dollar","USD","86.75","89.45","87.86","88.47","RMA"
