"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","66.00","67.80","66.88","67.3","RMA"
"Canadian Dollar (CAD)","CAD","66.55","68.45","67.46","67.94","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.65","14.75","RMA"
"OEuro (EURO)","EUR","108.05","111.05","109.5","110.25","RMA"
"Hongkong Dollar (HKD)","HKD","11.95","12.25","12.1","12.18","RMA"
"Japanese Yen 100 (JPY)","JPY","59.35","61.00","60.14","60.57","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.96","10.04","RMA"
"Pound Sterling (GBP)","GBP","126.10","129.60","127.83","128.67","RMA"
"Singapore Dollar (SGD)","SGD","73.00","75.10","73.99","74.55","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.96","10.03","RMA"
"Swiss Franc (CHF)","CHF","115.65","118.95","117.23","118.07","RMA"
"US Dollar (USD)","USD","93.70","96.60","94.89","95.55","RMA"
