"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","67.85","69.75","68.79","69.25","RMA"
"Canadian Dollar (CAD)","CAD","69.00","70.95","69.93","70.43","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.96","15.07","RMA"
"OEuro (EURO)","EUR","110.35","113.40","111.84","112.61","RMA"
"Hongkong Dollar (HKD)","HKD","12.10","12.45","12.27","12.36","RMA"
"Japanese Yen 100 (JPY)","JPY","59.65","61.35","60.47","60.9","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.33","10.41","RMA"
"Pound Sterling (GBP)","GBP","126.75","130.25","128.46","129.32","RMA"
"Singapore Dollar (SGD)","SGD","74.10","76.20","75.08","75.65","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.2","10.27","RMA"
"Swiss Franc (CHF)","CHF","120.70","124.10","122.34","123.21","RMA"
"US Dollar (USD)","USD","94.95","97.85","96.12","96.78","RMA"
