"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","57.60","59.20","58.4","58.79","RMA"
"Canadian Dollar","CAD","62.60","64.35","63.45","63.9","RMA"
"Danish Kroner","DKK","-","-","13.84","13.93","RMA"
"OEuro","EUR","101.95","104.75","103.31","104.02","RMA"
"Hongkong Dollar","HKD","11.20","11.55","11.38","11.46","RMA"
"Japanese Yen 100","JPY","57.95","59.60","58.72","59.15","RMA"
"Norwegian Kroner","NOK","-","-","8.9","8.97","RMA"
"Pound Sterling","GBP","117.45","120.70","119.06","119.85","RMA"
"Singapore Dollar","SGD","67.55","69.50","68.49","69.01","RMA"
"Swedish Kroner","SEK","-","-","9.44","9.5","RMA"
"Swiss Franc","CHF","109.40","112.60","110.9","111.78","RMA"
"US Dollar","USD","87.45","90.15","88.54","89.16","RMA"
