"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","68.25","70.15","69.18","69.65","RMA"
"Canadian Dollar (CAD)","CAD","68.75","70.70","69.68","70.19","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.96","15.06","RMA"
"OEuro (EURO)","EUR","110.30","113.35","111.77","112.55","RMA"
"Hongkong Dollar (HKD)","HKD","12.05","12.35","12.19","12.28","RMA"
"Japanese Yen 100 (JPY)","JPY","59.70","61.35","60.49","60.92","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.4","10.48","RMA"
"Pound Sterling (GBP)","GBP","127.35","130.90","129.09","129.96","RMA"
"Singapore Dollar (SGD)","SGD","74.00","76.10","75.0","75.58","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.24","10.32","RMA"
"Swiss Franc (CHF)","CHF","120.45","123.85","122.07","122.96","RMA"
"US Dollar (USD)","USD","94.30","97.20","95.47","96.14","RMA"
