"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","56.20","57.75","56.96","57.34","RMA"
"Canadian Dollar","CAD","61.65","63.40","62.51","62.95","RMA"
"Danish Kroner","DKK","-","-","13.7","13.79","RMA"
"OEuro","EUR","100.95","103.75","102.3","103.0","RMA"
"Hongkong Dollar","HKD","11.15","11.45","11.29","11.37","RMA"
"Japanese Yen 100","JPY","57.40","59.00","58.17","58.59","RMA"
"Norwegian Kroner","NOK","-","-","8.72","8.78","RMA"
"Pound Sterling","GBP","116.25","119.45","117.81","118.59","RMA"
"Singapore Dollar","SGD","66.85","68.75","67.75","68.26","RMA"
"Swedish Kroner","SEK","-","-","9.3","9.37","RMA"
"Swiss Franc","CHF","109.15","112.25","110.61","111.44","RMA"
"US Dollar","USD","86.65","89.30","87.72","88.32","RMA"
