"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","67.35","69.20","68.24","68.7","RMA"
"Canadian Dollar (CAD)","CAD","67.60","69.50","68.53","69.02","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.7","14.8","RMA"
"OEuro (EURO)","EUR","108.40","111.40","109.86","110.6","RMA"
"Hongkong Dollar (HKD)","HKD","11.90","12.25","12.06","12.15","RMA"
"Japanese Yen 100 (JPY)","JPY","60.60","62.30","61.44","61.88","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.22","10.29","RMA"
"Pound Sterling (GBP)","GBP","126.30","129.75","127.99","128.84","RMA"
"Singapore Dollar (SGD)","SGD","73.75","75.80","74.72","75.25","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.85","9.91","RMA"
"Swiss Franc (CHF)","CHF","115.00","118.25","116.56","117.42","RMA"
"US Dollar (USD)","USD","93.40","96.30","94.59","95.25","RMA"
