"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","57.75","59.30","58.52","58.9","RMA"
"Canadian Dollar","CAD","62.65","64.45","63.51","63.98","RMA"
"Danish Kroner","DKK","-","-","13.9","14.0","RMA"
"OEuro","EUR","102.40","105.25","103.81","104.51","RMA"
"Hongkong Dollar","HKD","11.20","11.55","11.37","11.45","RMA"
"Japanese Yen 100","JPY","59.30","60.95","60.1","60.52","RMA"
"Norwegian Kroner","NOK","-","-","8.88","8.94","RMA"
"Pound Sterling","GBP","117.55","120.80","119.12","119.93","RMA"
"Singapore Dollar","SGD","67.75","69.65","68.65","69.13","RMA"
"Swedish Kroner","SEK","-","-","9.4","9.47","RMA"
"Swiss Franc","CHF","109.55","112.65","111.04","111.82","RMA"
"US Dollar","USD","87.40","90.10","88.48","89.09","RMA"
