"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","58.05","59.65","58.84","59.23","RMA"
"Canadian Dollar","CAD","63.70","65.45","64.54","65.0","RMA"
"Danish Kroner","DKK","-","-","13.96","14.06","RMA"
"OEuro","EUR","102.90","105.75","104.29","105.0","RMA"
"Hongkong Dollar","HKD","11.30","11.60","11.44","11.52","RMA"
"Japanese Yen 100","JPY","55.90","57.45","56.63","57.04","RMA"
"Norwegian Kroner","NOK","-","-","8.74","8.8","RMA"
"Pound Sterling","GBP","117.55","120.85","119.16","119.97","RMA"
"Singapore Dollar","SGD","67.95","69.90","68.88","69.39","RMA"
"Swedish Kroner","SEK","-","-","9.56","9.63","RMA"
"Swiss Franc","CHF","110.45","113.55","111.97","112.76","RMA"
"US Dollar","USD","87.95","90.65","89.04","89.65","RMA"
