"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","58.90","60.50","59.69","60.06","RMA"
"Canadian Dollar","CAD","64.15","65.95","65.02","65.48","RMA"
"Danish Kroner","DKK","-","-","14.02","14.12","RMA"
"OEuro","EUR","103.35","106.20","104.73","105.45","RMA"
"Hongkong Dollar","HKD","11.40","11.70","11.55","11.63","RMA"
"Japanese Yen 100","JPY","57.00","58.60","57.79","58.2","RMA"
"Norwegian Kroner","NOK","-","-","8.88","8.94","RMA"
"Pound Sterling","GBP","118.10","121.35","119.7","120.5","RMA"
"Singapore Dollar","SGD","68.40","70.30","69.32","69.81","RMA"
"Swedish Kroner","SEK","-","-","9.56","9.63","RMA"
"Swiss Franc","CHF","110.25","113.35","111.72","112.53","RMA"
"US Dollar","USD","88.75","91.50","89.87","90.5","RMA"
