"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","57.80","59.40","58.56","58.95","RMA"
"Canadian Dollar","CAD","62.95","64.70","63.79","64.25","RMA"
"Danish Kroner","DKK","-","-","13.9","13.99","RMA"
"OEuro","EUR","102.35","105.20","103.74","104.45","RMA"
"Hongkong Dollar","HKD","11.15","11.45","11.29","11.37","RMA"
"Japanese Yen 100","JPY","58.95","60.60","59.75","60.18","RMA"
"Norwegian Kroner","NOK","-","-","8.93","9.0","RMA"
"Pound Sterling","GBP","118.20","121.50","119.81","120.62","RMA"
"Singapore Dollar","SGD","67.80","69.75","68.72","69.23","RMA"
"Swedish Kroner","SEK","-","-","9.48","9.56","RMA"
"Swiss Franc","CHF","109.45","112.60","110.93","111.78","RMA"
"US Dollar","USD","86.75","89.45","87.83","88.44","RMA"
