"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","65.05","66.85","65.91","66.35","RMA"
"Canadian Dollar (CAD)","CAD","66.05","67.90","66.95","67.43","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.54","14.64","RMA"
"OEuro (EURO)","EUR","107.25","110.20","108.69","109.42","RMA"
"Hongkong Dollar (HKD)","HKD","11.95","12.30","12.11","12.19","RMA"
"Japanese Yen 100 (JPY)","JPY","58.15","59.80","58.94","59.36","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.66","9.74","RMA"
"Pound Sterling (GBP)","GBP","125.15","128.60","126.84","127.68","RMA"
"Singapore Dollar (SGD)","SGD","72.60","74.65","73.57","74.11","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.84","9.91","RMA"
"Swiss Franc (CHF)","CHF","116.65","119.95","118.22","119.09","RMA"
"US Dollar (USD)","USD","93.80","96.70","94.98","95.64","RMA"
