"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","65.35","67.15","66.26","66.67","RMA"
"Canadian Dollar (CAD)","CAD","66.75","68.60","67.64","68.13","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.54","14.64","RMA"
"OEuro (EURO)","EUR","107.25","110.25","108.7","109.44","RMA"
"Hongkong Dollar (HKD)","HKD","12.00","12.35","12.17","12.25","RMA"
"Japanese Yen 100 (JPY)","JPY","57.55","59.15","58.32","58.72","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.86","9.93","RMA"
"Pound Sterling (GBP)","GBP","125.20","128.65","126.89","127.72","RMA"
"Singapore Dollar (SGD)","SGD","72.85","74.90","73.84","74.36","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.83","9.9","RMA"
"Swiss Franc (CHF)","CHF","114.80","118.10","116.36","117.24","RMA"
"US Dollar (USD)","USD","94.25","97.15","95.42","96.08","RMA"
