"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","66.45","68.30","67.34","67.8","RMA"
"Canadian Dollar (CAD)","CAD","67.65","69.55","68.57","69.06","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.71","14.82","RMA"
"OEuro (EURO)","EUR","108.50","111.50","109.98","110.73","RMA"
"Hongkong Dollar (HKD)","HKD","12.10","12.45","12.27","12.36","RMA"
"Japanese Yen 100 (JPY)","JPY","58.45","60.10","59.23","59.66","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.97","10.04","RMA"
"Pound Sterling (GBP)","GBP","127.80","131.35","129.54","130.42","RMA"
"Singapore Dollar (SGD)","SGD","73.55","75.60","74.52","75.06","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.96","10.03","RMA"
"Swiss Franc (CHF)","CHF","117.45","120.80","119.05","119.92","RMA"
"US Dollar (USD)","USD","95.05","97.95","96.22","96.88","RMA"
