"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","66.80","68.70","67.73","68.19","RMA"
"Canadian Dollar (CAD)","CAD","67.35","69.25","68.25","68.74","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.63","14.74","RMA"
"OEuro (EURO)","EUR","107.95","110.95","109.41","110.16","RMA"
"Hongkong Dollar (HKD)","HKD","11.85","12.20","12.02","12.1","RMA"
"Japanese Yen 100 (JPY)","JPY","59.45","61.15","60.27","60.7","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.11","10.19","RMA"
"Pound Sterling (GBP)","GBP","125.55","129.05","127.26","128.11","RMA"
"Singapore Dollar (SGD)","SGD","73.30","75.35","74.3","74.82","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.83","9.9","RMA"
"Swiss Franc (CHF)","CHF","114.90","118.15","116.43","117.28","RMA"
"US Dollar (USD)","USD","93.10","96.00","94.26","94.92","RMA"
