"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","65.25","67.05","66.12","66.56","RMA"
"Canadian Dollar (CAD)","CAD","65.75","67.60","66.64","67.12","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.48","14.58","RMA"
"OEuro (EURO)","EUR","106.80","109.75","108.22","108.96","RMA"
"Hongkong Dollar (HKD)","HKD","11.90","12.20","12.05","12.13","RMA"
"Japanese Yen 100 (JPY)","JPY","57.60","59.20","58.39","58.8","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.75","9.82","RMA"
"Pound Sterling (GBP)","GBP","123.30","126.70","124.96","125.79","RMA"
"Singapore Dollar (SGD)","SGD","72.05","74.10","73.04","73.57","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.84","9.91","RMA"
"Swiss Franc (CHF)","CHF","115.35","118.65","116.94","117.79","RMA"
"US Dollar (USD)","USD","93.30","96.15","94.45","95.1","RMA"
