"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","57.40","58.95","58.16","58.53","RMA"
"Canadian Dollar","CAD","62.75","64.50","63.59","64.04","RMA"
"Danish Kroner","DKK","-","-","13.9","14.0","RMA"
"OEuro","EUR","102.35","105.20","103.74","104.46","RMA"
"Hongkong Dollar","HKD","11.20","11.55","11.38","11.46","RMA"
"Japanese Yen 100","JPY","58.80","60.45","59.57","60.01","RMA"
"Norwegian Kroner","NOK","-","-","8.89","8.95","RMA"
"Pound Sterling","GBP","117.35","120.60","118.91","119.74","RMA"
"Singapore Dollar","SGD","67.70","69.60","68.6","69.11","RMA"
"Swedish Kroner","SEK","-","-","9.42","9.49","RMA"
"Swiss Franc","CHF","109.60","112.70","111.08","111.9","RMA"
"US Dollar","USD","87.45","90.15","88.53","89.15","RMA"
