"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","64.75","66.55","65.61","66.05","RMA"
"Canadian Dollar (CAD)","CAD","66.80","68.65","67.68","68.17","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.28","14.38","RMA"
"OEuro (EURO)","EUR","105.30","108.25","106.72","107.45","RMA"
"Hongkong Dollar (HKD)","HKD","11.70","12.05","11.87","11.95","RMA"
"Japanese Yen 100 (JPY)","JPY","57.65","59.25","58.42","58.83","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.7","9.77","RMA"
"Pound Sterling (GBP)","GBP","121.85","125.25","123.52","124.35","RMA"
"Singapore Dollar (SGD)","SGD","71.55","73.55","72.51","73.02","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.89","9.97","RMA"
"Swiss Franc (CHF)","CHF","115.55","118.80","117.11","117.97","RMA"
"US Dollar (USD)","USD","91.80","94.70","92.97","93.62","RMA"
