"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","64.75","66.55","65.63","66.08","RMA"
"Canadian Dollar (CAD)","CAD","66.35","68.20","67.25","67.74","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.56","14.66","RMA"
"OEuro (EURO)","EUR","107.35","110.35","108.82","109.56","RMA"
"Hongkong Dollar (HKD)","HKD","11.75","12.05","11.89","11.97","RMA"
"Japanese Yen 100 (JPY)","JPY","57.50","59.15","58.29","58.71","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.8","9.88","RMA"
"Pound Sterling (GBP)","GBP","123.35","126.80","125.04","125.9","RMA"
"Singapore Dollar (SGD)","SGD","72.00","74.05","72.99","73.5","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.0","10.07","RMA"
"Swiss Franc (CHF)","CHF","116.20","119.55","117.79","118.68","RMA"
"US Dollar (USD)","USD","91.95","94.80","93.11","93.76","RMA"
