"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","57.65","59.25","58.43","58.82","RMA"
"Canadian Dollar","CAD","62.65","64.40","63.49","63.95","RMA"
"Danish Kroner","DKK","-","-","13.79","13.89","RMA"
"OEuro","EUR","101.60","104.45","102.98","103.69","RMA"
"Hongkong Dollar","HKD","11.25","11.55","11.38","11.46","RMA"
"Japanese Yen 100","JPY","57.30","58.90","58.06","58.47","RMA"
"Norwegian Kroner","NOK","-","-","8.86","8.92","RMA"
"Pound Sterling","GBP","17.00","120.25","118.58","119.4","RMA"
"Singapore Dollar","SGD","67.45","69.35","68.36","68.87","RMA"
"Swedish Kroner","SEK","-","-","9.37","9.43","RMA"
"Swiss Franc","CHF","109.10","112.20","110.59","111.42","RMA"
"US Dollar","USD","87.45","90.20","88.57","89.19","RMA"
