"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","67.45","69.30","68.36","68.82","RMA"
"Canadian Dollar (CAD)","CAD","67.90","69.80","68.83","69.31","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.79","14.89","RMA"
"OEuro (EURO)","EUR","109.05","112.10","110.54","111.3","RMA"
"Hongkong Dollar (HKD)","HKD","12.00","12.35","12.15","12.24","RMA"
"Japanese Yen 100 (JPY)","JPY","61.05","62.75","61.86","62.3","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.25","10.32","RMA"
"Pound Sterling (GBP)","GBP","127.10","130.60","128.82","129.67","RMA"
"Singapore Dollar (SGD)","SGD","74.20","76.25","75.19","75.72","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.84","9.91","RMA"
"Swiss Franc (CHF)","CHF","115.45","118.70","117.02","117.84","RMA"
"US Dollar (USD)","USD","94.15","97.05","95.32","95.98","RMA"
