"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","56.35","57.90","57.14","57.5","RMA"
"Canadian Dollar","CAD","62.10","63.85","62.96","63.41","RMA"
"Danish Kroner","DKK","-","-","13.71","13.8","RMA"
"OEuro","EUR","1.00","103.80","102.36","103.05","RMA"
"Hongkong Dollar","HKD","11.25","11.55","11.39","11.47","RMA"
"Japanese Yen 100","JPY","57.45","59.05","58.23","58.64","RMA"
"Norwegian Kroner","NOK","-","-","8.7","8.77","RMA"
"Pound Sterling","GBP","115.95","119.15","117.52","118.31","RMA"
"Singapore Dollar","SGD","67.15","69.05","68.06","68.58","RMA"
"Swedish Kroner","SEK","-","-","9.3","9.37","RMA"
"Swiss Franc","CHF","108.65","111.75","110.11","110.94","RMA"
"US Dollar","USD","87.50","90.20","88.58","89.2","RMA"
