"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","60.20","61.90","61.03","61.45","RMA"
"Canadian Dollar (CAD)","CAD","64.70","66.55","65.6","66.08","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.24","14.34","RMA"
"OEuro (EURO)","EUR","105.00","107.90","106.4","107.14","RMA"
"Hongkong Dollar (HKD)","HKD","11.50","11.80","11.63","11.72","RMA"
"Japanese Yen 100 (JPY)","JPY","56.75","58.35","57.51","57.92","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.06","9.12","RMA"
"Pound Sterling (GBP)","GBP","120.65","124.00","122.28","123.1","RMA"
"Singapore Dollar (SGD)","SGD","69.80","71.75","70.72","71.25","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.91","9.99","RMA"
"Swiss Franc (CHF)","CHF","113.20","116.45","114.75","115.6","RMA"
"US Dollar (USD)","USD","89.60","92.40","90.72","91.36","RMA"
