"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","57.75","59.35","58.52","58.91","RMA"
"Canadian Dollar","CAD","63.00","64.80","63.87","64.33","RMA"
"Danish Kroner","DKK","-","-","13.9","14.0","RMA"
"OEuro","EUR","102.45","105.25","103.81","104.52","RMA"
"Hongkong Dollar","HKD","11.30","11.65","11.47","11.55","RMA"
"Japanese Yen 100","JPY","56.75","58.35","57.52","57.93","RMA"
"Norwegian Kroner","NOK","-","-","8.81","8.88","RMA"
"Pound Sterling","GBP","116.60","119.85","118.19","119.0","RMA"
"Singapore Dollar","SGD","68.05","69.95","68.95","69.44","RMA"
"Swedish Kroner","SEK","-","-","9.46","9.53","RMA"
"Swiss Franc","CHF","109.70","112.85","111.21","112.04","RMA"
"US Dollar","USD","88.25","90.95","89.33","89.96","RMA"
