"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","58.45","60.05","59.23","59.62","RMA"
"Canadian Dollar","CAD","63.60","65.40","64.46","64.93","RMA"
"Danish Kroner","DKK","-","-","14.03","14.13","RMA"
"OEuro","EUR","103.40","106.25","104.79","105.5","RMA"
"Hongkong Dollar","HKD","11.40","11.70","11.56","11.64","RMA"
"Japanese Yen 100","JPY","57.05","58.65","57.82","58.22","RMA"
"Norwegian Kroner","NOK","-","-","8.91","8.98","RMA"
"Pound Sterling","GBP","117.85","121.15","119.46","120.28","RMA"
"Singapore Dollar","SGD","68.55","70.45","69.47","69.95","RMA"
"Swedish Kroner","SEK","-","-","9.57","9.64","RMA"
"Swiss Franc","CHF","110.70","113.85","112.21","113.02","RMA"
"US Dollar","USD","88.85","91.60","89.97","90.6","RMA"
