"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","58.60","60.20","59.39","59.78","RMA"
"Canadian Dollar","CAD","64.05","65.85","64.93","65.4","RMA"
"Danish Kroner","DKK","-","-","14.04","14.15","RMA"
"OEuro","EUR","103.50","106.40","104.92","105.63","RMA"
"Hongkong Dollar","HKD","11.35","11.65","11.5","11.58","RMA"
"Japanese Yen 100","JPY","56.05","57.60","56.8","57.21","RMA"
"Norwegian Kroner","NOK","-","-","8.83","8.89","RMA"
"Pound Sterling","GBP","118.45","121.75","120.07","120.89","RMA"
"Singapore Dollar","SGD","68.40","70.30","69.3","69.79","RMA"
"Swedish Kroner","SEK","-","-","9.66","9.73","RMA"
"Swiss Franc","CHF","111.20","114.35","112.7","113.53","RMA"
"US Dollar","USD","88.35","91.05","89.43","90.05","RMA"
