"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","59.35","61.00","60.16","60.55","RMA"
"Canadian Dollar","CAD","64.70","66.55","65.57","66.05","RMA"
"Danish Kroner","DKK","-","-","14.15","14.25","RMA"
"OEuro","EUR","104.30","107.20","105.7","106.41","RMA"
"Hongkong Dollar","HKD","11.40","11.70","11.55","11.63","RMA"
"Japanese Yen 100","JPY","56.65","58.25","57.42","57.82","RMA"
"Norwegian Kroner","NOK","-","-","8.94","9.0","RMA"
"Pound Sterling","GBP","119.50","122.80","121.12","121.91","RMA"
"Singapore Dollar","SGD","68.90","70.85","69.82","70.34","RMA"
"Swedish Kroner","SEK","-","-","9.8","9.87","RMA"
"Swiss Franc","CHF","112.25","115.45","113.78","114.64","RMA"
"US Dollar","USD","88.65","91.40","89.76","90.38","RMA"
