"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","64.90","66.70","65.76","66.21","RMA"
"Canadian Dollar (CAD)","CAD","65.75","67.60","66.64","67.11","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.43","14.53","RMA"
"OEuro (EURO)","EUR","106.40","109.35","107.86","108.58","RMA"
"Hongkong Dollar (HKD)","HKD","11.90","12.25","12.05","12.14","RMA"
"Japanese Yen 100 (JPY)","JPY","57.75","59.40","58.55","58.96","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.71","9.78","RMA"
"Pound Sterling (GBP)","GBP","123.40","126.80","125.05","125.88","RMA"
"Singapore Dollar (SGD)","SGD","72.00","74.05","72.97","73.51","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.77","9.84","RMA"
"Swiss Franc (CHF)","CHF","115.15","118.35","116.7","117.52","RMA"
"US Dollar (USD)","USD","93.35","96.25","94.5","95.16","RMA"
